postedDate,eventDate,voidedDate,event,basis,action,entryNumber,portOfEntry,entryDate,entryType,teamNumber
,,,Extended,Customs Extension,,ATJ00037079,5301,,47,6D0
,,,Extended,Customs Extension,,8RM00000926,5301,,47,6D0
,,,Extended,Customs Extension,,94324085870,5301,,47,6D0
,,,Extended,Customs Extension,,94324085862,5301,,47,6D0
,,,Extended,Customs Extension,,AA603406254,5301,,47,6D0
,,,Extended,Customs Extension,,AA603406239,5301,,47,6D0
,,,Extended,Customs Extension,,AA603406221,5301,,47,6D0
,,,Extended,Customs Extension,,AA603406213,5301,,47,6D0
,,,Extended,Customs Extension,,AA603406205,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004556,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004549,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004531,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004523,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004515,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004507,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004499,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004481,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004473,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004465,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004457,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004440,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004432,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004382,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004374,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004366,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004358,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004341,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004333,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004325,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004317,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004309,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004291,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004283,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004275,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004259,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004242,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004234,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004226,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004218,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004200,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004192,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004184,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004176,5301,,47,6D0
,,,Extended,Customs Extension,,NP810004168,5301,,47,6D0
,,,Extended,Customs Extension,,NP810003947,5301,,47,6D0
,,,Extended,Customs Extension,,WBA10137767,5301,,47,6D0
,,,Extended,Customs Extension,,WBA10137734,5301,,47,6D0
,,,Extended,Customs Extension,,WBA10137700,5301,,47,6D0
,,,Extended,Customs Extension,,WBA10137668,5301,,47,6D0
,,,Extended,Customs Extension,,WBA10137577,5301,,47,6D0
,,,Extended,Customs Extension,,BER90163161,5301,,47,6D0
,,,Extended,Customs Extension,,BER90163161,5301,,47,6D0
,,,Extended,Customs Extension,,BER90178037,5301,,47,6D0
,,,Extended,Customs Extension,,94324085789,5301,,47,6D0
,,,Extended,Customs Extension,,AA603406247,5301,,47,6D0
,,,Extended,Customs Extension,,WBA10137049,5301,,47,6D0
,,,Extended,Customs Extension,,NP810003939,5301,,47,6D0
,,,Extended,Customs Extension,,NP810003921,5301,,47,6D0
,,,Extended,Customs Extension,,NP810003913,5301,,47,6D0
,,,Extended,Customs Extension,,NP810003632,5301,,47,6D0
,,,Extended,Customs Extension,,WBA10137072,5301,,47,6D0
,,,Extended,Customs Extension,,96802006484,5301,,47,6D0
,,,Extended,Customs Extension,,96802006393,5301,,47,6D0
,,,Extended,Customs Extension,,BER90150929,5301,,47,6D0
,,,Extended,Customs Extension,,WBA10136959,5301,,47,6D0
,,,Extended,Customs Extension,,NP810003624,5301,,47,6D0
,,,Liquidated,,Change Increase,WBA10137684,5301,,47,6D0
,,,Liquidated,,Change Increase,D9713088968,5301,,47,6D0
,,,Liquidated,,No Change,ARV60160657,5301,,47,6D0
,,,Liquidated,,No Change,ARV60225955,5301,,47,6D0
,,,Liquidated,,No Change,ARV60225922,5301,,47,6D0
,,,Liquidated,,No Change,ARV60218729,5301,,47,6D0
,,,Liquidated,Drawback Denied,Change Decrease,ARV60172397,5301,,47,6D0
,,,Liquidated,,Change Increase,DL700009426,5301,,47,6D0
,,,Liquidated,,No Change,BER90177526,5301,,47,6D0
,,,Liquidated,,Change Increase,9S300000475,5301,,47,6D0
,,,Liquidated,,Change Increase,9S300000467,5301,,47,6D0
,,,Liquidated,,Change Increase,D9713076393,5301,,47,6D0
,,,Liquidated,,Change Increase,D9713075247,5301,,47,6D0
,,,Liquidated,,No Change,96802005684,5301,,47,6D0
,,,Liquidated,,No Change,96802005692,5301,,47,6D0
,,,Liquidated,,No Change,96802005700,5301,,47,6D0
,,,Liquidated,,No Change,96802005718,5301,,47,6D0
,,,Liquidated,,No Change,96802005734,5301,,47,6D0
,,,Liquidated,,No Change,96802005742,5301,,47,6D0
,,,Liquidated,,No Change,96802005759,5301,,47,6D0
,,,Liquidated,,No Change,96802005767,5301,,47,6D0
,,,Liquidated,,No Change,96802005874,5301,,47,6D0
,,,Liquidated,,No Change,AA603411049,5301,,47,6D0
,,,Extended,Customs Extension,,94324094203,5301,,47,6D0
,,,Extended,Customs Extension,,94324094195,5301,,47,6D0
,,,Extended,Customs Extension,,94324094187,5301,,47,6D0
,,,Extended,Customs Extension,,94324094179,5301,,47,6D0
,,,Extended,Customs Extension,,94324094161,5301,,47,6D0
,,,Extended,Customs Extension,,94324094153,5301,,47,6D0
,,,Extended,Customs Extension,,94324094146,5301,,47,6D0
,,,Extended,Customs Extension,,94324094138,5301,,47,6D0
,,,Extended,Customs Extension,,94324094120,5301,,47,6D0
,,,Extended,Customs Extension,,94324094096,5301,,47,6D0
,,,Extended,Customs Extension,,94324094088,5301,,47,6D0
,,,Extended,Customs Extension,,E5S13130010,5301,,47,6D0
,,,Extended,Customs Extension,,SQ310075347,5301,,47,6D0
,,,Extended,Customs Extension,,SQ310075339,5301,,47,6D0
,,,Extended,Customs Extension,,SQ310074548,5301,,47,6D0
,,,Extended,Customs Extension,,BER90177856,5301,,47,6D0
,,,Extended,Customs Extension,,BER90162791,5301,,47,6D0
,,,Suspended,Subject to Injunction,,BER90162791,5301,,47,6D0
,,,Extended,Customs Extension,,AA603406098,5301,,47,6D0
,,,Extended,Customs Extension,,94324094112,5301,,47,6D0
,,,Extended,Customs Extension,,94324094104,5301,,47,6D0
,,,Extended,Customs Extension,,96802006385,5301,,47,6D0
,,,Extended,Customs Extension,,AA603406130,5301,,47,6D0
,,,Extended,Customs Extension,,BER90162791,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835670,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835688,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835696,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835704,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835712,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835720,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835720,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835738,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835746,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835753,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835761,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835779,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835787,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835795,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835803,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835811,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835829,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835837,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835845,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835852,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835860,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835886,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835878,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835894,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835902,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835910,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835928,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835936,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835944,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835951,5301,,47,6D0
,,,Extended,Customs Extension,,E5S34835969,5301,,47,6D0
,,,Extended,Customs Extension,,8YE00065516,5301,,47,6D0
,,,Extended,Customs Extension,,94324085920,5301,,47,6D0
,,,Extended,Customs Extension,,WBA10137668,5301,,47,6D0
,,,Extended,Customs Extension,,8RM00000900,5301,,47,6D0
,,,Re-liquidated,,No Change,BER90176247,5301,,47,6D0
,,,Liquidated,,Change Increase,D9713059944,5301,,47,6D0
,,,Liquidated,,Change Decrease,BER90166933,5301,,47,6D0
,,,Liquidated,,Change Increase,N8498002854,5301,,47,6D0
,,,Liquidated,,No Change,BER90183250,5301,,47,6D0
,,,Liquidated,,No Change,BER90166529,5301,,47,6D0
,,,Liquidated,,Change Increase,BER90177351,5301,,47,6D0
,,,Liquidated,,No Change,D9716783268,5301,,47,6D0
,,,Liquidated,,No Change,DL700009368,5301,,47,6D0
,,,Liquidated,,Change Increase,N8498002847,5301,,47,6D0
,,,Liquidated,,Change Increase,N8498002839,5301,,47,6D0
,,,Liquidated,,No Change,CWL55637186,5301,,47,6D0
,,,Liquidated,,No Change,CWL55499223,5301,,47,6D0
,,,Liquidated,,No Change,AA603400505,5301,,47,6D0
,,,Extended,Customs Extension,,96802006310,5301,,47,6D0
,,,Extended,Customs Extension,,8RM00000918,5301,,47,6D0
,,,Extended,Customs Extension,,SQ310073466,5301,,47,6D0
